mun_code,n_obs,n_positives,prevalence,auroc,auprc,f1,balanced_acc,precision,recall,status,iacv_r1_mean,iacv_r2_mean,IPM_2005,nbi_2005,women_share,discapital,altura,indrural,area_km2,performance_category,cluster
05313,11,3,0.2727272727272727,0.7083333333333334,0.4444444444444445,0.42857142857142855,0.5,0.2727272727272727,1.0,valid,1.013970588235294,1.064705882352941,61.50798,27.257148977187533,0.5088874999999999,60.450165,2075.0,0.58524877,75.03783783783784,Medio,2.0
05315,11,2,0.18181818181818182,0.7222222222222222,0.6428571428571428,0.5,0.6944444444444444,0.5,0.5,valid,1.768970588235294,1.768970588235294,78.67987,48.21782178217822,0.4903766176470588,79.998825,1725.0,0.6968384,74.63636363636364,Alto,1.0
05318,11,2,0.18181818181818182,0.5,0.24285714285714285,0.3076923076923077,0.5,0.18181818181818182,1.0,valid,1.109264705882353,1.1248529411764705,41.20979,17.72544567755159,0.5026679411764706,23.405863,2138.0,0.64869374,283.7843137254902,Bajo,2.0
05321,11,1,0.09090909090909091,0.7,0.25,0.0,0.5,0.0,0.0,valid,1.035,1.0189705882352942,40.88129,14.50621755955658,0.5076842647058823,53.647743,1891.0,0.27303872,96.55714285714286,Bajo,2.0
05347,11,2,0.18181818181818182,0.3333333333333333,0.19444444444444442,0.0,0.4444444444444444,0.0,0.0,valid,2.804264705882353,2.783823529411765,69.61164,34.27200990252205,0.4814520588235294,14.904026,1450.0,0.57797474,55.483050847457626,Bajo,1.0
05353,11,2,0.18181818181818182,0.9444444444444444,0.8333333333333333,0.8,0.9444444444444444,0.6666666666666666,1.0,valid,1.765294117647059,1.765294117647059,62.67753,28.25814536340852,0.49676250000000005,60.23927,960.0,0.37129226,90.08474576271186,Alto,1.0
05360,11,3,0.2727272727272727,0.875,0.7555555555555555,0.42857142857142855,0.5,0.2727272727272727,1.0,valid,1.9063235294117646,1.9201470588235292,23.141,8.79107945428604,0.5239092647058824,11.876401,1578.0,0.09271704,13054.176470588236,Alto,2.0
05361,11,2,0.18181818181818182,0.8333333333333334,0.7,0.0,0.5,0.0,0.0,valid,4.18235294117647,4.1702941176470585,80.7349,65.215117855835,0.4208633823529412,102.10046,1750.0,0.7602041,10.958736842105264,Alto,0.0
05364,11,4,0.36363636363636365,0.75,0.6845238095238095,0.4,0.625,1.0,0.25,valid,2.3308823529411766,2.326764705882353,57.01822,24.280588193906983,0.5028160294117647,80.22525,1750.0,0.51742536,60.46696035242291,Alto,2.0
05368,11,2,0.18181818181818182,0.4444444444444445,0.225,0.36363636363636365,0.6111111111111112,0.2222222222222222,1.0,valid,0.7991176470588235,0.8439705882352941,58.443900000000006,27.062164487294687,0.506894705882353,58.189022,1975.0,0.39143014,73.65641025641025,Bajo,1.0
05376,11,2,0.18181818181818182,0.4444444444444444,0.2361111111111111,0.3076923076923077,0.5,0.18181818181818182,1.0,valid,0.9841176470588235,1.0169117647058825,35.15245,13.75297575256917,0.5137298529411765,40.115936,2143.0,0.17249502,381.18045112781954,Bajo,2.0
05380,11,2,0.18181818181818182,1.0,1.0,0.3076923076923077,0.5,0.18181818181818182,1.0,valid,1.7601470588235293,1.7758823529411765,26.38304,11.636054329059949,0.5183838235294118,14.80122,1764.0,0.44982976,1582.4,Alto,2.0
05390,11,4,0.36363636363636365,0.8214285714285714,0.8611111111111112,0.8571428571428571,0.875,1.0,0.75,valid,2.474264705882353,2.4992647058823527,60.14378,37.62760603882099,0.4975236764705882,60.46619,592.0,0.16303425,181.12727272727273,Alto,2.0
05400,11,4,0.36363636363636365,0.5357142857142857,0.4125,0.6153846153846154,0.6428571428571428,0.4444444444444444,1.0,valid,1.1932352941176472,1.2201470588235295,48.5716,18.398496770539406,0.5052644117647058,49.46943,2472.0,0.48060757,93.05,Medio,2.0
05411,11,2,0.18181818181818182,0.6666666666666667,0.625,0.36363636363636365,0.6111111111111112,0.2222222222222222,1.0,valid,1.0886764705882352,1.0651470588235292,67.08387,35.2267864783911,0.4839155882352942,54.489212,750.0,0.8041161,47.768181818181816,Alto,1.0
05425,11,2,0.18181818181818182,0.6666666666666667,0.3333333333333333,0.0,0.5,0.0,0.0,valid,2.918970588235294,2.8901470588235294,61.39224,35.42168674698795,0.5001170588235294,106.98154,1100.0,0.6068152,19.926605504587155,Bajo,1.0
05440,11,4,0.36363636363636365,0.6785714285714285,0.6178571428571429,0.5333333333333333,0.5,0.36363636363636365,1.0,valid,1.196029411764706,1.1994117647058824,44.94912,14.56087825107315,0.5069511764705882,38.152958,2088.0,0.2870159,450.36206896551727,Alto,2.0
05467,11,3,0.2727272727272727,0.875,0.8333333333333333,0.5454545454545454,0.6875,0.375,1.0,valid,1.0538235294117646,1.031764705882353,62.2478,33.9742721733243,0.489797794117647,42.719296,2200.0,0.7357437,93.39285714285714,Alto,2.0
05475,11,2,0.18181818181818182,0.8888888888888888,0.75,0.4444444444444444,0.7222222222222222,0.2857142857142857,1.0,valid,1.2323529411764707,1.2323529411764707,95.14147,97.0848813946842,0.4904223529411765,142.42772,25.0,0.7055675,2.6454212454212453,Alto,0.0
05480,11,1,0.09090909090909091,0.8,0.3333333333333333,0.4,0.85,0.25,1.0,valid,3.466470588235294,3.5301470588235295,80.75926,60.74058707602946,0.4887054411764705,145.40079,132.0,0.7398344,10.880250223413762,Bajo,0.0
